period_granularity,period_start,period_label,period_sort,variable,role,contribution_draw_n,contribution_q05,contribution_q50,contribution_q95
week,2024-01-07,2024-01-07,1,baseline,baseline_control,80,2369.25703628215,2496.26573577671,2654.79123227929
week,2024-01-07,2024-01-07,1,display,media,80,71.2957648965998,83.9183090730337,96.8206389020387
week,2024-01-07,2024-01-07,1,meta,media,80,151.836180349021,175.378994999987,205.583690679502
week,2024-01-07,2024-01-07,1,paid_search,media,80,269.07099707268,302.87151902546,352.010078272277
week,2024-01-07,2024-01-07,1,promo,baseline_control,80,0,0,0
week,2024-01-07,2024-01-07,1,retail_media,media,80,139.272036548738,160.322819780857,187.806190752296
week,2024-01-07,2024-01-07,1,tiktok,media,80,70.4085556177695,83.9560851762046,96.9377670653176
week,2024-01-07,2024-01-07,1,tv,media,80,258.551067358786,294.326627905369,350.171552348535
week,2024-01-14,2024-01-14,2,baseline,baseline_control,80,2385.76781742273,2513.85745569287,2666.83379649891
week,2024-01-14,2024-01-14,2,display,media,80,69.3161321265472,75.267259705113,88.1200567157175
week,2024-01-14,2024-01-14,2,meta,media,80,153.413164913086,177.195588943202,207.580516008033
week,2024-01-14,2024-01-14,2,paid_search,media,80,244.192426785326,281.548781700232,329.10630926897
week,2024-01-14,2024-01-14,2,promo,baseline_control,80,0,0,0
week,2024-01-14,2024-01-14,2,retail_media,media,80,133.254143026528,154.128022523473,178.501510185446
week,2024-01-14,2024-01-14,2,tiktok,media,80,70.5742757953179,83.1221475972594,98.8286675139018
week,2024-01-14,2024-01-14,2,tv,media,80,297.807906182686,343.076382788475,392.636952103105
week,2024-01-21,2024-01-21,3,baseline,baseline_control,80,2426.73077668151,2556.04719151792,2640.04581520162
week,2024-01-21,2024-01-21,3,display,media,80,87.3463066945652,96.6656558861303,110.618757774292
week,2024-01-21,2024-01-21,3,meta,media,80,145.003077688218,167.900417975598,188.020471204678
week,2024-01-21,2024-01-21,3,paid_search,media,80,239.208799431708,281.689978861768,323.346963612367
week,2024-01-21,2024-01-21,3,promo,baseline_control,80,0,0,0
week,2024-01-21,2024-01-21,3,retail_media,media,80,126.896902476821,150.223387502844,165.601111421394
week,2024-01-21,2024-01-21,3,tiktok,media,80,98.5118614375057,111.114725225614,125.799159270999
week,2024-01-21,2024-01-21,3,tv,media,80,295.90014728878,334.904702462699,383.028845867449
week,2024-01-28,2024-01-28,4,baseline,baseline_control,80,2455.34764001639,2577.95969399149,2721.36708907644
week,2024-01-28,2024-01-28,4,display,media,80,86.7320014519355,101.24968417785,115.943132594772
week,2024-01-28,2024-01-28,4,meta,media,80,150.685012185116,175.613741425843,202.293452414054
week,2024-01-28,2024-01-28,4,paid_search,media,80,234.175422041276,285.561589872761,327.991493787572
week,2024-01-28,2024-01-28,4,promo,baseline_control,80,0,0,0
